Designator,Footprint,Quantity,Comment,LCSC
,,,,
"C301, C302",CAP-EL-NP-5MM,2,22u 50V 20%,C239256
"C401, C402, C403, C701, C501, C502",CAP_0805,4,2u2 100V X7R,C19110
"C404, C405, C503",CAP_0805,3,100n 100V X7R,C710457
"C406, C407",CAP_0805,2,22u 25V X7R,C907991
C504,CAP_0603,1,10n 16V X7R,C519509
C505,CAP_0805,1,10u 10V X7R,C2167756
"C601, C704",CAP_0603,2,22u 6V3 X5R,C59461
"C603, C705",CAP_0402,2,100n 6V3 X7R,C541406
"C702, C703",CAP_0603,2,100n 100V X7R,C282519
C706,CAP_0603,1,220n 25V X7R,C21120
"C801, C901, C902",CAP_0603,3,100n X7R 100V,C696916
"C1003, C1004, C1005",CAP_0402,3,1n 16V X7R,C189467
"C1101, C1201, C1401",CAP_0603,3,2u2 16V X7R,C914769
"C1102, C1202, C1402",CAP_0402,3,100n 16V X7R,C541464
"D301, D701, D702",DO-214AC-2 (SMA),3,SMBJ33CA,C83325
"D901, D902, D1005, D1006, D1007",SOD-523,5,BAT41KFILM,C73150
"D1002, D1003, D1004",D_0402,3,CG0402MLC-05LG,C711709
"D1101, D1102",D_0402,2,CG0402MLC-3.3LG,C2655370
D1201,SOT-23-6,1,USBLC6-2SC6,C7519
D1301,uDFN-10-WIDE,1,ESDR0524SMUTAG,C890633
D1401,150080M153000,1,150080M153000,C458749
FB401,FB_0805,1,120@ 120MHz,C88990
"J301, J701, J901, J1001, J1002, J1101",1725669,6,1725669,C5288763
J1201,629105150521,1,629105150521,C404969
J1301,651005136421,1,651005136421,C13453
L401,SMNR4020,1,SMNR4020-*,C467062
R401,RES_0603,1,14000.0%,C185372
"R402, R404",RES_0603,2,03-31-00,C23162
R403,RES_0603,1,11-30-51,C23198
"R601, R701, R703, R1004, R1005, R1006, R1101, R1102",RES_0402,9,1000.0%,C2759535
R702,RES_0402,1,12-31-99,C409028
R801,RES_0603,1,10000.0%,C161805
R802,RES_0603,1,2200.0%,C844758
R901,RES_0603,1,4700.0%,C511055
"R902, R903",RES_0603,2,1000.0%,C510290
"R1001, R1002, R1003",RES_0402,3,2200.0%,C114765
R1103,RES_0402,1,12000.0%,C114758
"R1104, R1105",RES_0402,2,39000.0%,C412983
"R1401, R1402, R1403",RES_0402,3,22000.0%,C2759506
U401,TSOT-26-6,1,AP62250WU-7,C5184228
U501,SOT-23-5,1,SPX3819M5-L-3-3/TR,C9055
U601,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N4,C2913197
U701,SOP65P640X120-16N,1,DRV8876PWPR,C1855818
U1101,SOIC-8,1,SP3494CN-L/TR,C2846826
,,,,
,,,,
,,,,

